ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2014/055242,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,40000000,40000000,06/12/2013 12:00:00 AM,06/13/2013 12:00:00 AM,,06/30/2014 12:00:00 AM,,16 months 17 days,16 months,Drought Mitigation &  Response,provision of supplies and rations during times of distress,to reduce likelihood of loss of lives,020800 - Information And Communication Services,Unspecified,Unspecified,1121 - Ministry of Information and Communications and Technology,Ongoing,"Energy, Infrastructure and ICT",0
2014/055261,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,15000000,15000000,07/12/2013 12:00:00 AM,03/14/2014 12:00:00 AM,12/09/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,18 days,0,Waste Management,Design mechanism for solid waste mangement,To improve the management of solid waste in the county,010200 - Housing Development and Human Settlement,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Pipelined,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055263,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,1550000,3634300,07/12/2013 12:00:00 AM,03/14/2014 12:00:00 AM,,06/30/2014 12:00:00 AM,,6 months 16 days,6 months,Land Data Digitization,creating of County Digital land Data base,to sanitize the land registry,010100 - Land Policy and Planning,Ministry of Land Housing and Urban Development,Implementation of Land Reforms Programmes.,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055268,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,29550000,30014000,06/14/2013 12:00:00 AM,03/03/2014 12:00:00 AM,03/03/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,6 months 27 days,6 months,Purchaseof land,Purchase of land for parking and market development,To increase the County revenue base,010500 - Urban and Metropolitan Development,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055271,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,6641200,12246835,06/18/2013 12:00:00 AM,03/03/2014 12:00:00 AM,03/03/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,6 months 27 days,6 months,Survey and mapping for titles deeds,Survey and mapping of all unsurveyed land in the county for titles deeds,To empower land owners with other form of collateral,010100 - Land Policy and Planning,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055317,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,40000000,40000000,07/01/2013 12:00:00 AM,07/01/2013 12:00:00 AM,01/07/2013 12:00:00 AM,06/30/2014 12:00:00 AM,,11 months 29 days,11 months,Emergency fund,Setting aside of a fund to meet emergencies,To take care of disasters,071700 - General Administration Planning and Support Services,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Completed,Public Administration and International Relations (PAIR),0
2014/055330,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,5000000,5000000,03/03/2014 12:00:00 AM,03/04/2014 12:00:00 AM,04/03/2014 12:00:00 AM,08/14/2014 12:00:00 AM,,5 months 10 days,5 months,Connection of electricity in Ndovoini,Connection of power to Ndovoini community,Improve connection to power and communication,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2014/055332,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,12000000,12000000,06/25/2014 12:00:00 AM,06/25/2014 12:00:00 AM,,07/30/2014 12:00:00 AM,,1 month 5 days,1 month,Rural elecrification,Connect power to households and government entities in the county,"Connect power to health facilities, schools and offices",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2014/055333,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,5750691,5750691,03/25/2014 12:00:00 AM,06/25/2014 12:00:00 AM,,07/31/2014 12:00:00 AM,,2 months 4 days,2 months,Purchase of generator set for county HQ,Purchase and installation of a generator for the county HQ offices,Provide power to the HQ during power outages,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Completed,"Energy, Infrastructure and ICT",0
2014/055334,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,100000000,100000000,04/01/2014 12:00:00 AM,04/01/2014 12:00:00 AM,01/04/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,2 months 29 days,2 months,Purchase of Roads equipment,Purchase of roads equipment to be used in grading county access roads,To improve efficiency,020200 - Road Transport,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Completed,"Energy, Infrastructure and ICT",0
2014/055335,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,20000000,20000000,03/03/2014 12:00:00 AM,06/18/2014 12:00:00 AM,,06/30/2015 12:00:00 AM,,12 months 12 days,12 months,Construction of Executive block,Construction of an executive office block,Provide for county staff,010300 - Government Buildings,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055337,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,1570000,1570000,03/03/2014 12:00:00 AM,04/04/2014 12:00:00 AM,04/04/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,2 months 26 days,2 months,Mobilization of grader,Fueling and grading of ward access roads,Improved conditions of ward access roads,020200 - Road Transport,Unspecified,Unspecified,1091 - State Department of Infrastructure,Completed,"Energy, Infrastructure and ICT",0
2014/055348,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,600000,600000,03/03/2014 12:00:00 AM,06/25/2014 12:00:00 AM,,07/30/2014 12:00:00 AM,,1 month 5 days,1 month,"Street Lighting for kambu, makindu & matiliku",Installation of high mast lighting in the markets,Improve security in the markets,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Completed,"Energy, Infrastructure and ICT",0
2014/055375,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,785000,08/19/2013 12:00:00 AM,08/26/2013 12:00:00 AM,,06/30/2014 12:00:00 AM,,10 months 4 days,10 months,Dairy Development,Promotion of dairy farming in the county,To empower the dairy farmers,011200 - Livestock Resources Management and Development,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2013/054469,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055069,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055095,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055223,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055251,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055222,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055220,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055221,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055258,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055297,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,1800000,1800000,12/20/2013 12:00:00 AM,06/02/2014 12:00:00 AM,02/06/2014 12:00:00 AM,09/05/2014 12:00:00 AM,,3 months 23 days,3 months,High mast street lights,Installation of high mast street lighting,Improve security,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055373,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,70000000,70000000,04/01/2014 12:00:00 AM,04/01/2014 12:00:00 AM,03/04/2014 12:00:00 AM,10/31/2014 12:00:00 AM,,8 months 28 days,8 months,Fruit processing plant,"Benchmarking tours for fruit processing plant, Land purchase for fruit processing plant, Land survey and design for fruit processing plant, Launching of the fruit processing plant, Baseline/Validation of production levels (various fruits and products), I",Improve horticultural farming and commercial horticulture,010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2012/054025,Nyandarua North District,"(-1.03800000000, 35.97600000000)","(-0.19564156553, 36.23951790700)",ILDAMAT,NAROK SOUTH,NAROK,,1318981,10/27/2006 12:00:00 AM,07/01/2009 12:00:00 AM,,06/30/2014 12:00:00 AM,,59 months 29 days,59 months,Revitalization Of Melangine Youth Polytechnic,REVITALIZATION OF MELANGINE YOUTH POLYTECHNIC,BUILD CAPACITY OF THE YOUTH,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2012/054025,Nyandarua South District,"(-1.59000000000, 35.81100000000)","(-0.19564156553, 36.23951790700)",MAJIMOTO/NAROOSURA,NAROK SOUTH,NAROK,,1318981,10/27/2006 12:00:00 AM,07/01/2009 12:00:00 AM,,06/30/2014 12:00:00 AM,,59 months 29 days,59 months,Revitalization Of Melangine Youth Polytechnic,REVITALIZATION OF MELANGINE YOUTH POLYTECHNIC,BUILD CAPACITY OF THE YOUTH,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2014/055129,Nyabondo,"(-0.38100000000, 34.98000000000)","(-0.18768299304, 34.93716875890)",SOUTH EAST NYAKACH,NYAKACH,KISUMU,2178213,4356427,04/15/2014 12:00:00 AM,05/05/2014 12:00:00 AM,12/05/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,2 months 19 days,2 months,Proposed Renovotaton of  Ahero /Nyando Hostels at Ahero Multipurpose Development Training Institute,"Parttioning of existing dormitory rooms into 20 self-contained rooms
Removal of asbestos roof and re-roofing using galvanized iron sheets
Re-wiring of the two blocks
Drainage connection
painting
Fixing of floor tiles","To increase the accomomodation space by 20 self-contained rooms
Replace the existing leaking roof
- To enhance AIA collections",050100 - Primary Education,Ministry of Education,Improved ST and I capacities and capabilities to support the key national transformation areas.,106 - Ministry of Education,Planned,Education,0
2014/055257,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055318,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055319,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2012/054014,Nation Wide - Kenya,"(1.00000000000, 38.00000000000)","(-0.15869064577, 35.87070226920)",WASO,SAMBURU EAST,SAMBURU,51507168858,60091697000,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,05/12/2012 12:00:00 AM,06/30/2019 12:00:00 AM,,78 months 25 days,78 months,ETHIOPIA - KENYA ELECTRICITY EXPANSION HIGHWAY PROJECT (EA INTERCONNECTOR),"The project entails construction of a High Voltage Direct Current (HVDC) overhead transmission line to interconnect the Electricity network of Ethiopia, at Wolayta/Sodo substation, with the Kenya Network, at the Suswa Substation in order to increase the","To provide an additional transmission capacity to the National grid in order to address the increased power demand by ensuring that there is adequate, reliable, quality, affordable, sustainable and secure energy.",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2014/055320,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055321,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055341,Unspecified,,"(-1.92828229641, 37.54036017610)",NZAUI/KILILI/KALAMBA,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055178,Unspecified,,"(-1.86984758885, 37.65272230520)",MUVAU/KIKUUMINI,MAKUENI,MAKUENI,36000000,36000000,12/10/2013 12:00:00 AM,01/10/2014 12:00:00 AM,04/04/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,5 months 20 days,5 months,MEDICAL EQUIPMENTS(INCLUDING X-RAY),PURCHASE OF MEDICAL EQUIPMENTS.,"FASTER AND ACCURATE DIAGNOSIS
EFFICIENT AND EFFECTIVE SERVICES
REDUCE FINANCIAL BURDEN BY REDUCING REFERRALS
SAVING ON TIME SPENT SEEKING MEDICAL SERVICES",071600 - International Trade and Investments Promotion,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Public Administration and International Relations (PAIR),0
2014/055308,Unspecified,,"(-1.86984758885, 37.65272230520)",MUVAU/KIKUUMINI,MAKUENI,MAKUENI,2000000,2000000,08/12/2013 12:00:00 AM,03/10/2014 12:00:00 AM,10/03/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,3 months 20 days,3 months,Rehabilitation of Nzueni hill,Rehabilitation of Nzueni hill in Muvau/Kikumini ward,To conserve the water source,010100 - Land Policy and Planning,Ministry of Land Housing and Urban Development,Implementation of Land Reforms Programmes.,1111 - Ministry of Land Housing and Urban Development,Completed,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055218,Unspecified,,"(-1.86984758885, 37.65272230520)",MUVAU/KIKUUMINI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055269,Unspecified,,"(-1.86649143841, 37.81063999670)",MAVINDINI,MAKUENI,MAKUENI,2500000,2500000,12/20/2013 12:00:00 AM,06/02/2014 12:00:00 AM,06/06/2014 12:00:00 AM,09/05/2014 12:00:00 AM,,3 months 19 days,3 months,Mavindini stockyard,Construction and commissioning of the stock yard,Promote trade in livestock,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055364,Unspecified,,"(-1.86649143841, 37.81063999670)",MAVINDINI,MAKUENI,MAKUENI,2000000,2000000,08/05/2013 12:00:00 AM,03/22/2014 12:00:00 AM,,06/30/2014 12:00:00 AM,,3 months 8 days,3 months,Grading of mavindini ward access roads,Bush clearing and grading of access roads - 51 Kms (9 Kms under bush clearing),Improve access and communication,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Completed,"Energy, Infrastructure and ICT",0
2014/055226,Unspecified,,"(-1.86649143841, 37.81063999670)",MAVINDINI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2012/053345,Nation Wide - Kenya,"(1.00000000000, 38.00000000000)","(-0.07024260276, 34.77794468350)",WASO,SAMBURU EAST,SAMBURU,300000000,300000000,05/23/2011 12:00:00 AM,05/23/2011 12:00:00 AM,,12/31/2016 12:00:00 AM,03/09/2018 12:00:00 AM,64 months 9 days,64 months,Kenya Transport Sector Support Project (KTSSP),The objective of the project are to (a) increase the efficiency of road transport along the northern corridor and the Tanzania -Kenya- Sudan Road Corridor; (b) Enhance aviation safety and security to meet international standards ; (c) improve the institu,xxx,020200 - Road Transport,Ministry of Transport and Infrastructure,Develop an Integrated Growth and Development Strategy for Six Metropolitan Regions; Lamu Corridor Development.; Development of 1st┬áWorld Airport Facilities.,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure; 1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2014/055326,Unspecified,,"(-1.86649143841, 37.81063999670)",MAVINDINI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055178,Unspecified,,"(-1.85574563821, 37.32530996500)",MUKAA,KILOME,MAKUENI,36000000,36000000,12/10/2013 12:00:00 AM,01/10/2014 12:00:00 AM,04/04/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,5 months 20 days,5 months,MEDICAL EQUIPMENTS(INCLUDING X-RAY),PURCHASE OF MEDICAL EQUIPMENTS.,"FASTER AND ACCURATE DIAGNOSIS
EFFICIENT AND EFFECTIVE SERVICES
REDUCE FINANCIAL BURDEN BY REDUCING REFERRALS
SAVING ON TIME SPENT SEEKING MEDICAL SERVICES",071600 - International Trade and Investments Promotion,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Public Administration and International Relations (PAIR),0
2014/055187,Unspecified,,"(-1.85574563821, 37.32530996500)",MUKAA,KILOME,MAKUENI,10000000,10000000,12/03/2013 12:00:00 AM,01/05/2014 12:00:00 AM,02/06/2014 12:00:00 AM,06/13/2014 12:00:00 AM,,17 days,0,MEDICAL OUTREACH CAMPAIGNS,TO CONDUCT MEDICAL OUTREACHES IN THE SIX SUB-COUNTIES,"TO PROVIIDE BASIC INVESTIGATIONS THROUGH LABORATORY SERVICES.
TO TREAT MINOR CASES.
TO DIAGNOSE AND REFER DIFFICULT CASES FOR FURTHER MANAGEMENT.
TO DIAGNOSE EARLY FOR CASE MANAGEMENT INSTEAD OF WAITING FOR LATE STAGES.",091000 - General Administration Planning and Support Services,Ministry of Health,De-Linking Ministry of Health from Service Delivery,1081 - Ministry of Health,Ongoing,"Social Protection, Culture and Recreation",0
